Kabupaten Kota,Luas Tanaman dan Produksi Karet Tanaman Perkebunan Rakyat menurut Kabupaten/Kota,,,,,
,Luas Tanaman (Ha),,,Produksi (ton),,
,2019,2020,2021,2019,2020,2021
Sumatera Utara,369391,369392,369392,309973,310016,310018
Nias,4954,4954,4954,3653,3653,3653
Mandailing Natal,64571,64571,64571,52402,52402,52404
Tapanuli Selatan,26318,26318,26318,13738,13738,13738
Tapanuli Tengah,32472,32472,32472,23445,23445,23445
Tapanuli Utara,9100,9100,9100,6591,6591,6591
Toba,650,650,650,105,105,105
Labuhan Batu,22141,22141,22141,22332,22342,22342
Asahan,5497,5497,5497,5511,5521,5521
Simalungun,5374,5374,5374,4832,4832,4832
Dairi,504,504,504,159,159,159
Karo,141,141,141,73,73,73
Deli Serdang,5164,5164,5164,4564,4564,4564
Langkat,40715,40715,40715,40413,40423,40423
Nias Selatan,11382,11383,11383,9967,9980,9980
Humbang Hasundutan,4296,4296,4296,4023,4023,4023
Pakpak Bharat,1666,1666,1666,800,800,800
Samosir,-,-,-,-,-,-
Serdang Bedagai,11739,11739,11739,12600,12600,12600
Batu Bara,556,556,556,559,559,559
Padang Lawas Utara,39278,39278,39278,30278,30278,30278
Padang Lawas,22327,22327,22327,18188,18188,18188
Labuhanbatu Selatan,26454,26454,26454,29900,29900,29900
Labuanbatu Utara,14084,14084,14084,11786,11786,11786
Nias Utara,11059,11059,11059,9280,9280,9280
Nias Barat,4001,4001,4001,2227,2227,2227
Sibolga,-,-,-,-,-,-
Tanjungbalai,-,-,-,-,-,-
Pematangsiantar,-,-,-,-,-,-
Tebing Tinggi,-,-,-,-,-,-
Medan,-,-,-,-,-,-
Binjai,-,-,-,-,-,-
Padangsidimpuan,1277,1277,1277,1198,1198,1198
Gunungsitoli,3671,3671,3671,1349,1349,1349